codigo,familia,seccion,descripcion,pdf,familias_todas
030500601,Accesorios para Bano,Porta Rollo Inox,,03_Accesorios-Bano.pdf,Accesorios para Bano
030501602,Accesorios para Bano,Perchero Colomba Jabonera Colomba Porta Vaso Colomba,,03_Accesorios-Bano.pdf,Accesorios para Bano
030501802,Accesorios para Bano,Toallero Mano Schwarz Porta Rollo Schwarz,,03_Accesorios-Bano.pdf,Accesorios para Bano
030600001,Accesorios para Bano,Toallero Barra Kassel,,03_Accesorios-Bano.pdf,Accesorios para Bano
030600200,Accesorios para Bano,Metálico Redondo Acrílico con Llave,,03_Accesorios-Bano.pdf,Accesorios para Bano
030600201,Accesorios para Bano,Toallero Barra 61 cm Swertt,,03_Accesorios-Bano.pdf,Accesorios para Bano
030600301,Accesorios para Bano,Porta Rollo Freiburg Toallero Barra 61 cm Freiburg,,03_Accesorios-Bano.pdf,Accesorios para Bano
030600601,Accesorios para Bano,Porta Rollo Inox,,03_Accesorios-Bano.pdf,Accesorios para Bano
030601602,Accesorios para Bano,Perchero Colomba Jabonera Colomba Porta Vaso Colomba,,03_Accesorios-Bano.pdf,Accesorios para Bano
030601802,Accesorios para Bano,Terminación:,,03_Accesorios-Bano.pdf,Accesorios para Bano
030700201,Accesorios para Bano,(6 piezas),,03_Accesorios-Bano.pdf,Accesorios para Bano
030700205,Accesorios para Bano,5 Piezas,,03_Accesorios-Bano.pdf,Accesorios para Bano
030700301,Accesorios para Bano,Terminación: (6 piezas),,03_Accesorios-Bano.pdf,Accesorios para Bano
030701602,Accesorios para Bano,Kit de Accesorios de Baño Colomba (6 Piezas),,03_Accesorios-Bano.pdf,Accesorios para Bano
030701702,Accesorios para Bano,Kit Accesorios Pared Notte (6 piezas),,03_Accesorios-Bano.pdf,Accesorios para Bano
030704401,Accesorios para Bano,Cromado + Blanco Cerámico,),03_Accesorios-Bano.pdf,Accesorios para Bano
030704501,Accesorios para Bano,Kit Accesorios de Pared Hamburg (7 piezas),),03_Accesorios-Bano.pdf,Accesorios para Bano
030800200,Accesorios para Bano,03 Porta Toalla al Muro,,03_Accesorios-Bano.pdf,Accesorios para Bano
030900100,Accesorios para Bano,Espejo Doble al Muro 6”,,03_Accesorios-Bano.pdf,Accesorios para Bano
030900400,Accesorios para Bano,Espejo Doble al Muro 6”,,03_Accesorios-Bano.pdf,Accesorios para Bano
031100100,Accesorios para Bano,Limpia WC,,03_Accesorios-Bano.pdf,Accesorios para Bano
031200102,Accesorios para Bano,Acero Inoxidable SS304,Barra Seguridad,03_Accesorios-Bano.pdf,Accesorios para Bano
